Year,Type,Country,Fatal_injury,Species,Length,Weight
1987,Unprovoked,USA,N,BLACKTIP SHARK,180,30
1987,Unprovoked,AUSTRALIA,N,COPPER SHARK,250,71
1987,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,275,200
1987,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,350,424
1987,Unprovoked,USA,N,WHITE SHARK,570,1926
1988,Unprovoked,USA,Y,BULL SHARK,300,168
1988,Provoked,SOUTH AFRICA,N,COPPER SHARK,150,15
1988,Boating,AUSTRALIA,N,SHORTFIN MAKO SHARK,300,100
1988,Provoked,USA,N,TIGER SHARK,180,28
1988,Unprovoked,FIJI,N,TIGER SHARK,300,148
1988,Unprovoked,USA,N,WHITE SHARK,270,190
1988,Unprovoked,CHILE,Y,WHITE SHARK,490,1215
1988,Unprovoked,USA,N,WHITE SHARK,575,1983
1989,Unprovoked,AUSTRALIA,N,COPPER SHARK,200,35
1989,Unprovoked,AUSTRALIA,N,COPPER SHARK,300,125
1989,Unprovoked,USA,N,HAMMERHEAD SHARK,210,41
1989,Unprovoked,USA,N,TIGER SHARK,180,28
1989,Boating,AUSTRALIA,N,TIGER SHARK,350,283
1989,Unprovoked,AUSTRALIA,N,TIGER SHARK,400,432
1989,Unprovoked,AUSTRALIA,Y,WHITE SHARK,200,79
1989,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,250,152
1989,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,250,152
1989,Unprovoked,AUSTRALIA,N,WHITE SHARK,270,190
1989,Unprovoked,ITALY,N,WHITE SHARK,300,260
1989,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,300,260
1989,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,340,385
1989,Provoked,AUSTRALIA,N,WHITE SHARK,350,424
1989,Boating,USA,N,WHITE SHARK,450,929
1989,Unprovoked,USA,N,WHITE SHARK,450,929
1989,Unprovoked,USA,Y,WHITE SHARK,500,1300
1989,Unprovoked,ITALY,Y,WHITE SHARK,600,2287
1990,Unprovoked,REUNION,N,BULL SHARK,300,168
1990,Unprovoked,AUSTRALIA,N,HAMMERHEAD SHARK,200,36
1990,Unprovoked,AUSTRALIA,N,HAMMERHEAD SHARK,200,36
1990,Unprovoked,USA,N,SPINNER SHARK,120,9
1990,Unprovoked,AUSTRALIA,N,TIGER SHARK,300,148
1990,Unprovoked,USA,N,TIGER SHARK,370,343
1990,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,230,118
1990,Boating,USA,N,WHITE SHARK,275,200
1990,Unprovoked,USA,N,WHITE SHARK,350,424
1990,Unprovoked,USA,N,WHITE SHARK,400,650
1990,Unprovoked,SOUTH AFRICA,Y,WHITE SHARK,450,929
1990,Unprovoked,SOUTH AFRICA,N,WHITE SHARK,500,1300
1990,Unprovoked,USA,N,WHITE SHARK,550,1760
